symbol,close,avg_vol_30d,sessions,kind,dollar_vol
AGCC,14.430000305175781,48576.666666666664,30,stock,700961.3148244221
AGCO,133.39999389648438,1132620.0,30,stock,151091501.08703613
AGD,12.180000305175781,87550.0,30,stock,1066359.0267181396
AGEN,8.239999771118164,1359063.3333333333,30,stock,11198681.555601755
AGI,36.970001220703125,4703046.666666667,30,stock,173871641.00769043
AGIG,1.159999966621399,155246.66666666666,30,stock,180086.12815141678
AGIO,33.099998474121094,1063976.6666666667,30,stock,35217626.043167114
AGL,88.5,321570.0,30,stock,28458945.0
AGM,227.77999877929688,98776.66666666667,30,stock,22499349.012756348
AGMH,0.9240000247955322,63430.0,30,stock,58609.32157278061
AGNC,10.649999618530273,17005503.333333332,30,stock,181108604.01291528
AGNT,4.03000020980835,1428073.3333333333,30,stock,5755135.832955042
AGO,75.69000244140625,368730.0,30,stock,27909174.600219727
AGPU,10.670000076293945,464416.6666666667,30,stock,4955325.868765513
AGRO,11.770000457763672,883243.3333333334,30,stock,10395774.437650045
AGRZ,0.22100000083446503,8619930.0,30,stock,1905004.5371930301
AGX,417.989990234375,328410.0,30,stock,137272092.6928711
AGYS,111.36000061035156,285416.6666666667,30,stock,31784000.17420451
AHCO,6.489999771118164,3766330.0,30,stock,24443480.837955475
AHG,0.8479999899864197,14696.666666666666,30,stock,12462.77318616708
AHMA,1.2899999618530273,40016.666666666664,30,stock,51621.498473485306
AHR,54.720001220703125,2825040.0,30,stock,154586192.24853516
AHRT,6.610000133514404,623780.0,30,stock,4123185.883283615
AHT,3.140000104904175,34173.333333333336,30,stock,107304.27025159201
AI,10.460000038146973,5201526.666666667,30,stock,54407969.13175583
AIAI,4.179999828338623,748950.0,30,stock,3130610.8714342117
AIB,1.2799999713897705,1200480.0,30,stock,1536614.3656539917
AIBZ,4.949999809265137,430123.3333333333,30,stock,2129110.4179604845
AIDX,0.5899999737739563,102656.66666666667,30,stock,60567.43064105511
AIFA,3.1700000762939453,372120.0,30,stock,1179620.428390503
AIFC,0.5600000023841858,972123.3333333334,30,stock,544389.0689843893
AIFF,1.1299999952316284,119590.0,30,stock,135136.69942975044
AIFU,18.760000228881836,35830.0,30,stock,672170.8082008362
AIG,76.20999908447266,3156723.3333333335,30,stock,240573882.34326681
AII,26.0,172950.0,30,stock,4496700.0
AIIA,10.220000267028809,14313.333333333334,30,stock,146282.270488739
AIIO,1.840000033378601,670873.3333333334,30,stock,1234406.9557261467
AIIR,7.300000190734863,10370.0,30,stock,75701.00197792053
AIM,0.23000000417232513,7873823.333333333,30,stock,1810979.3995188177
